country;1900;1901;1902;1903;1904;1905;1906;1907;1908;1909;1910;1911;1912;1913;1914;1915;1916;1917;1918;1919;1920;1921;1922;1923;1924;1925;1926;1927;1928;1929;1930;1931;1932;1933;1934;1935;1936;1937;1938;1939;1940;1941;1942;1943;1944;1945;1946;1947;1948;1949;1950;1951;1952;1953;1954;1955;1956;1957;1958;1959;1960;1961;1962;1963;1964;1965;1966;1967;1968;1969;1970;1971;1972;1973;1974;1975;1976;1977;1978;1979;1980;1981;1982;1983;1984;1985;1986;1987;1988;1989;1990;1991;1992;1993;1994;1995;1996;1997;1998;1999;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018
China;95.3;95.3;95.3;1970;2090;2300;17100;16900;22800;20900;18800;27900;9790;10800;15100;16100;18000;19900;21100;24300;26800;25300;26700;32200;35100;33200;29600;33600;34100;35800;38000;40300;38600;42300;49300;57700;65100;60600;55300;67200;86200;108000;114000;97400;97900;50400;31300;33600;23900;59400;78700;102000;128000;134000;161000;191000;217000;257000;526000;721000;780000;551000;440000;436000;436000;475000;522000;433000;468000;576000;771000;875000;930000;966000;986000;1140000;1190000;1310000;1460000;1490000;1460000;1440000;1570000;1660000;1800000;1950000;2050000;2190000;2350000;2390000;2420000;2540000;2660000;2840000;3010000;3270000;3410000;3420000;3270000;3260000;3350000;3430000;3790000;4460000;5130000;5780000;6380000;6870000;7380000;7770000;8510000;9400000;9640000;9800000;9830000;9720000;9710000;9850000;10100000
India;13100;14400;15900;16200;18100;18500;21400;23800;27300;26300;25700;27100;31200;34500;34700;36300;36700;38400;43200;47200;38200;41100;40400;41600;44500;44000;43800;46000;44200;46000;46800;42900;39800;39100;43700;45600;44900;49700;55600;54400;57700;59000;58900;51300;52500;58200;57500;58600;58700;61900;66700;69800;73600;74900;78800;85500;88500;99300;104000;110000;121000;130000;144000;154000;151000;166000;172000;172000;187000;191000;195000;205000;217000;224000;231000;251000;263000;278000;282000;296000;313000;337000;348000;377000;386000;425000;455000;486000;526000;577000;617000;657000;699000;723000;765000;812000;880000;916000;934000;996000;1030000;1040000;1050000;1090000;1150000;1210000;1290000;1390000;1550000;1720000;1700000;1810000;1980000;2000000;2200000;2300000;2370000;2460000;2660000
New Zealand;2440;2740;3040;3170;3440;3540;3870;4090;4150;4270;4910;4610;4870;4220;5090;4940;5040;4620;4550;4130;3560;3500;3560;3840;3990;4090;4280;4500;4720;4900;4870;4240;3540;3550;3990;4150;4180;4390;4250;4470;4760;5010;5100;5380;5470;5630;5540;5460;5510;5610;8580;8180;9330;8560;9080;9400;9680;10300;10200;10300;11500;11800;11200;12200;13100;13700;14000;13600;13500;14300;14200;15100;16200;18200;18800;18300;19300;20300;18000;16500;17500;16600;18300;18000;19400;21900;23000;24200;25500;25500;25500;26100;28100;27700;27900;28000;29300;31300;29900;31500;32300;34500;34700;36400;36000;37600;37500;36600;37600;34800;35000;34300;36000;35300;35700;35900;34300;36100;34800
Russia;46800;48100;46400;45400;50500;45100;51400;57600;58000;61200;60000;62200;70500;76600;69100;63400;67600;62200;24800;21200;19300;21000;25600;28200;33600;33200;48100;59800;66400;71600;97300;117000;132000;147000;178000;201000;231000;236000;249000;252000;303000;266000;183000;234000;219000;232000;260000;313000;333000;379000;423000;458000;490000;519000;567000;643000;704000;771000;823000;853000;888000;916000;961000;1030000;1100000;1160000;1230000;1280000;1320000;1370000;1450000;1530000;1610000;1680000;1750000;1840000;1910000;1970000;2040000;2060000;2140000;2100000;2140000;2170000;2190000;2360000;2360000;2350000;2420000;2360000;2530000;2400000;1960000;1860000;1640000;1610000;1580000;1480000;1460000;1490000;1470000;1510000;1500000;1530000;1530000;1550000;1610000;1610000;1640000;1530000;1610000;1670000;1680000;1620000;1620000;1620000;1620000;1650000;1710000
Sweden;9180;8530;8930;9810;10300;10200;11300;12800;13700;12600;13000;12700;14000;15800;14900;15000;15800;6770;8010;7690;10400;6020;9950;12100;14500;12900;12500;17600;16300;19400;18900;19000;18800;19500;21800;22900;25100;29000;26200;29300;18500;15100;13000;15900;12500;4560;17400;25100;30800;26900;28700;33500;34600;32600;34500;39100;43400;38900;42100;42400;49200;48800;51300;55400;60400;62600;72600;69000;77700;86500;92400;84600;84800;87400;79900;80800;88300;85800;79500;84900;71800;69400;62300;58300;57400;62400;62100;59700;57500;55600;57500;57700;57400;57400;59800;59200;63200;58100;58700;55900;54700;55700;56600;57200;56500;53800;53700;52800;50700;47100;52900;48900;46400;44800;43200;43100;42600;42100;41100
United Kingdom;420000;411000;427000;430000;432000;438000;454000;474000;462000;466000;470000;482000;456000;499000;484000;490000;507000;502000;467000;457000;470000;320000;429000;455000;476000;450000;247000;467000;438000;461000;441000;413000;396000;392000;424000;429000;454000;469000;449000;453000;476000;470000;469000;455000;442000;418000;437000;462000;476000;486000;501000;545000;529000;541000;553000;577000;574000;571000;556000;547000;584000;589000;593000;604000;608000;623000;619000;593000;607000;629000;653000;661000;649000;660000;618000;604000;599000;605000;605000;645000;580000;561000;549000;546000;530000;560000;569000;572000;571000;582000;601000;609000;594000;580000;576000;567000;589000;563000;568000;561000;568000;576000;561000;572000;573000;570000;568000;559000;545000;494000;512000;470000;488000;478000;439000;423000;400000;388000;379000
United States;663000;722000;765000;895000;881000;985000;1030000;1200000;1050000;1160000;1270000;1260000;1340000;1440000;1320000;1370000;1520000;1670000;1750000;1480000;1740000;1420000;1430000;1900000;1700000;1740000;1890000;1850000;1830000;1960000;1740000;1480000;1260000;1350000;1440000;1490000;1710000;1790000;1510000;1670000;1870000;2040000;2200000;2270000;2440000;2360000;2250000;2480000;2580000;2160000;2540000;2610000;2550000;2610000;2490000;2720000;2860000;2830000;2740000;2830000;2890000;2880000;2990000;3120000;3260000;3390000;3560000;3700000;3830000;4020000;4330000;4350000;4560000;4770000;4600000;4400000;4610000;4740000;4890000;4900000;4720000;4530000;4310000;4340000;4470000;4490000;4490000;4680000;4890000;4950000;5130000;5080000;5180000;5290000;5380000;5440000;5630000;5710000;5750000;5830000;6000000;5900000;5950000;6000000;6110000;6140000;6060000;6130000;5930000;5500000;5700000;5580000;5380000;5530000;5580000;5430000;5310000;5280000;5420000
