country,1751,1752,1753,1754,1755,1756,1757,1758,1759,1760,1761,1762,1763,1764,1765,1766,1767,1768,1769,1770,1771,1772,1773,1774,1775,1776,1777,1778,1779,1780,1781,1782,1783,1784,1785,1786,1787,1788,1789,1790,1791,1792,1793,1794,1795,1796,1797,1798,1799,1800,1801,1802,1803,1804,1805,1806,1807,1808,1809,1810,1811,1812,1813,1814,1815,1816,1817,1818,1819,1820,1821,1822,1823,1824,1825,1826,1827,1828,1829,1830,1831,1832,1833,1834,1835,1836,1837,1838,1839,1840,1841,1842,1843,1844,1845,1846,1847,1848,1849,1850,1851,1852,1853,1854,1855,1856,1857,1858,1859,1860,1861,1862,1863,1864,1865,1866,1867,1868,1869,1870,1871,1872,1873,1874,1875,1876,1877,1878,1879,1880,1881,1882,1883,1884,1885,1886,1887,1888,1889,1890,1891,1892,1893,1894,1895,1896,1897,1898,1899,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
Bolivia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.67,11,11,7.33,14.7,44,73.3,69.7,44,55,66,84.3,128,106,136,147,139,169,161,169,205,290,495,462,513,539,788,931,1110,1000,917,950,1000,1040,1100,1210,1480,1510,1690,1890,2180,2550,2490,3060,3570,3460,3520,4060,4580,4480,5020,4730,4660,4780,4340,4280,4030,4110,3770,4020,4290,4970,5730,5980,6630,7800,8600,9810,9780,10900,10900,10400,11000,8570,10300,11000,11000,12100,14900,12200,13100,13600,14900,16000,18500,18800,20000,19700,21200,21700,22300
Bosnia and Herzegovina,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4810,5250,5510,5650,6290,7120,7330,7260,7330,7840,8130,10600,11500,10700,12800,12900,13400,13900,13500,15100,16400,16100,17500,16100,17300,18300,18700,19500,19000,19600,19600,19500,13800,15000,12600,3210,3410,4240,8370,10600,10300,13700,13300,14200,14400,15500,16100,17400,17500,20000,20600,21200,23800,22200,21800,19300,18500,21800,21800,21700
Botswana,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22,51.3,88,187,594,781,832,942,986,1010,1100,1030,1050,1160,1070,1240,1300,1430,2700,2640,2780,3200,3030,3050,2760,2800,3340,3160,3780,3850,3980,3830,3900,4100,4140,4230,4510,3860,4540,4030,5080,5670,6860,5430,6340,6920,6670
Brazil,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2100,2510,2440,2620,2800,3210,3450,3600,3610,4200,4610,5600,6040,4110,3150,2880,2500,2320,3070,3650,2890,3780,4620,5110,5380,5480,6080,5930,6350,5520,4170,4170,4730,4630,5520,5150,6090,6100,5960,6490,6290,5870,6480,5900,6830,7470,8960,7860,7380,19700,21700,25000,25200,29700,34100,36700,36000,39100,39000,46900,49200,53700,55600,56700,56400,64300,66100,77300,84200,93600,102000,114000,132000,143000,151000,155000,162000,176000,187000,186000,171000,171000,166000,168000,180000,197000,206000,208000,212000,207000,217000,219000,229000,240000,256000,281000,297000,309000,317000,324000,333000,328000,318000,334000,342000,342000,357000,381000,360000,412000,430000,460000,495000,524000,496000,455000,464000,458000
Brunei,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,3.67,44,25.7,77,205,216,2630,2960,1970,1250,1870,2500,920,946,5360,80.7,11500,414,301,323,345,359,301,297,293,319,326,334,304,370,356,341,334,491,440,429,488,8210,7520,9460,9980,8180,7080,6020,6400,9540,7440,6880,1470,2090,2710,1920,2600,2300,3320,5720,6350,6190,5310,5210,4970,4690,4790,4750,4940,5160,3810,4590,4390,4260,4470,4880,4870,4740,8320,9000,7750,8070,9550,9500,7630,8930,6960,7550,7600,7940
Bulgaria,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,3.67,3.67,7.33,11,7.33,7.33,11,18.3,25.7,33,40.3,47.7,62.3,80.7,84.3,106,110,147,147,216,271,238,235,301,359,315,455,598,605,634,898,898,788,1180,763,924,1140,1420,836,1100,1370,1510,1610,1840,1810,1780,1820,2140,2490,2410,2280,2640,2350,2440,2480,2520,2790,3180,3490,4100,4430,5350,5820,4390,5210,4980,5910,6230,7460,7510,8170,9440,10600,11400,12100,13000,14400,15600,19600,22300,26000,30700,34400,42900,46300,48800,55200,59500,66400,61200,64300,66100,68800,71200,73000,73000,75800,81300,79000,77300,80100,89900,90100,87100,89300,91200,91300,86900,86500,76600,61200,57000,57600,56000,57600,58000,55600,53200,46300,45200,49000,46200,50500,49500,50600,51900,55700,54000,45700,47800,53200,48300,42600,45100,48100,45300,47400,44500
Burkina Faso,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.67,7.33,44,91.7,84.3,88,110,103,103,103,103,121,143,150,161,169,205,220,209,249,348,407,433,557,576,594,466,477,480,517,554,821,583,627,631,627,645,624,705,803,858,915,1030,992,1000,1080,1100,1120,1360,1590,1740,1830,2040,2130,2620,2870,2910,3300,3380,3760,3900
Burundi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,39,36.5,47.8,44,47.7,47.7,36.7,47.7,47.7,55,73.3,62.3,73.3,73.3,73.3,91.7,77,88,99,103,110,147,158,158,205,220,231,235,249,227,268,209,238,216,227,235,238,242,249,249,253,271,205,213,161,198,154,187,187,191,191,308,421,380,399,377,392,484,509,522
Cambodia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,103,132,161,198,213,235,286,308,389,341,403,469,418,491,1350,1170,249,117,128,73.1,73.1,72.8,72.5,51.2,29.3,286,301,337,367,411,418,433,436,451,451,1260,1310,1350,1390,1470,1540,1600,1530,1940,1900,1980,2250,2210,2380,2450,2780,3000,3460,3810,4570,5030,5110,5340,5480,6520,8450,9730,10000,10400
Cameroon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,139,183,282,202,231,235,238,257,279,279,271,282,290,301,337,312,345,458,506,572,638,810,861,898,975,1160,1090,1560,1990,1820,3890,5320,6320,6560,6060,6480,1990,1840,2160,7580,627,56.5,2730,2880,2840,3210,3600,3160,3140,3000,3350,3330,3330,3700,3850,3590,3760,5710,5430,6600,6670,6170,5880,4870,6650,7750,8000,8010,8140
Canada,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.67,3.67,3.67,3.67,3.67,3.67,3.67,3.67,3.67,3.67,3.67,3.67,3.67,3.67,3.67,3.67,3.67,3.67,3.67,3.67,3.67,3.67,3.67,3.67,3.67,3.67,3.67,3.67,3.67,3.67,3.67,3.67,3.67,3.67,3.67,3.67,3.67,3.67,3.67,3.67,3.67,3.67,3.67,3.67,3.67,3.67,3.67,3.67,3.67,3.67,3.67,3.67,3.67,3.67,3.67,3.67,3.67,3.67,3.67,3.67,3.67,25.7,33,40.3,47.7,58.7,69.7,84.3,103,125,150,180,216,264,315,381,458,561,704,843,1020,1240,1600,946,686,1220,1780,1850,1610,1620,1880,1860,2020,1940,2190,5240,5600,6620,7440,8610,8250,8800,10200,13300,11300,12400,14000,13900,14900,14200,13500,14700,14800,15700,19200,20600,23900,25700,28000,33100,35400,37400,47000,47400,45400,51700,60300,67300,79300,68400,61200,76500,85300,89600,76200,84400,80500,69300,93100,77400,75300,84800,92100,93900,99100,94400,75900,70300,69500,80000,78900,86200,93600,85600,95100,109000,120000,131000,138000,141000,131000,139000,144000,159000,145000,154000,163000,160000,161000,163000,170000,190000,183000,182000,185000,193000,194000,207000,211000,238000,252000,259000,282000,304000,307000,341000,353000,381000,382000,390000,397000,399000,408000,416000,442000,443000,430000,415000,409000,426000,422000,405000,431000,456000,463000,463000,453000,467000,467000,482000,495000,510000,525000,534000,549000,572000,565000,571000,588000,587000,577000,571000,595000,576000,544000,557000,567000,571000,578000,578000,577000,565000,572000,569000
Cape Verde,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,103,77,36.7,18.3,22,22,29.3,18.3,14.7,18.3,22,22,18.3,14.6,29.3,25.6,22,18.3,29.3,36.6,36.6,36.6,51.3,62.3,66,77,73.3,80.7,209,249,121,33,36.7,36.7,84.3,84.3,58.7,80.7,73.3,80.7,95.3,99,106,110,114,121,143,147,158,183,216,235,275,308,330,440,473,506,469,524,557,616,506,499,491,495,543,605,629
Central African Republic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,99,88,88,73.3,73.3,73.3,88,84.3,91.7,183,187,209,183,169,161,114,103,128,128,147,103,106,136,143,147,150,161,161,260,231,249,198,205,216,224,235,235,235,246,249,264,268,246,246,235,235,235,249,253,253,253,264,279,293,286,290,293,297,296,304
Chad,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,62.3,55,51.3,84.3,91.7,99,106,84.3,117,125,161,125,150,121,161,150,183,183,198,194,202,209,209,205,205,216,180,187,198,66,103,378,385,407,403,407,422,436,451,462,477,488,502,510,744,748,766,792,854,928,942,997,821,904,945,979,979,994,992,1020
Chile,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,524,535,638,741,634,851,1570,1960,2160,1970,2080,2440,2180,2460,2350,2810,3110,3470,3360,2850,3070,3710,4030,3970,3890,2780,3340,2760,3050,4030,3800,3910,3880,3660,4020,3850,2930,2900,4100,4830,5120,5030,5280,5530,5010,5270,5570,5810,6120,6150,5650,5440,5710,6220,5880,8460,9990,10600,10400,11100,11600,11800,11700,12500,12700,13500,14500,16700,17400,17500,17800,18800,19300,21200,22500,24700,27100,28200,27600,25900,23000,24000,23000,22900,24700,25100,24400,20500,20700,22000,21300,22000,22400,26600,32000,32900,31200,32200,34300,37800,41100,47700,55500,56900,61000,58200,52600,54500,54900,59100,61000,64000,70800,70900,66000,71400,78100,79800,81800,77500,81700,84200,83500,85900
China,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,95.3,95.3,95.3,95.3,1970,2090,2300,17100,16900,22800,20900,18800,27900,9790,10800,15100,16100,18000,19900,21100,24300,26800,25300,26700,32200,35100,33200,29600,33600,34100,35800,38000,40300,38600,42300,49300,57700,65100,60600,55300,67200,86200,108000,114000,97400,97900,50400,31300,33600,23900,59400,78700,102000,128000,134000,161000,191000,217000,257000,526000,721000,780000,551000,440000,436000,436000,475000,522000,433000,468000,576000,771000,875000,930000,966000,986000,1140000,1190000,1310000,1460000,1490000,1460000,1440000,1570000,1660000,1800000,1950000,2050000,2190000,2350000,2390000,2420000,2540000,2660000,2840000,3010000,3270000,3410000,3420000,3270000,3260000,3350000,3430000,3790000,4460000,5130000,5780000,6380000,6870000,7380000,7770000,8510000,9400000,9640000,9800000,9830000,9720000,9710000,9850000,10100000
Colombia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,29.3,143,187,198,444,847,825,1350,1290,653,330,80.7,535,737,2410,2790,2790,3010,4640,4170,3740,4170,3740,4750,4480,4970,5070,4490,5140,7510,8170,8640,10800,9630,12000,12600,13700,14000,16100,16400,18200,19400,21300,21700,22900,23500,24700,26600,28000,28400,30300,31500,33700,36400,35800,38000,39300,41600,44300,44200,44300,45700,49200,48700,48100,48800,50200,52100,52800,56900,56700,61500,63400,66800,58800,59800,64500,65200,54800,56300,56000,55500,57100,54600,60100,62100,61500,67300,72600,76300,76100,79800,91900,85800,93200,96900,93200,97300
Comoros,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11,11,11,11,11,11,14.7,18.3,18.3,18.3,18.3,29.3,29.3,29.3,29.3,29.3,33,40.3,40.3,29.3,22,47.7,47.7,47.7,47.7,47.7,47.7,44,47.7,51.3,51.3,62.3,66,66,69.7,69.7,73.3,77,80.7,88,91.7,103,103,103,132,143,139,161,103,106,132,161,136,143,176,154,169,202,212,219
"Congo, Dem. Rep.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.67,7.33,80.7,161,216,172,238,231,282,304,389,249,51.3,3.67,18.3,33,40.3,103,121,88,77,103,143,220,172,172,312,326,374,477,1480,1750,2090,2290,2820,3390,3180,3330,2930,2700,2320,2360,2170,2290,1980,2470,2400,2290,3370,3650,2710,2960,3020,3190,3370,3240,3410,3480,3530,3740,3490,3760,3050,4000,3930,3610,3350,3820,3980,4360,4250,3140,2810,2660,1700,2110,2310,1880,1660,1320,894,769,851,1040,1150,1450,1550,1700,1810,1700,1960,2440,2360,3540,4640,2790,2000,1990,2040
"Congo, Rep.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,187,224,268,238,235,268,246,308,323,451,502,572,686,664,1220,1620,1100,1240,480,323,348,406,471,1340,1140,1140,1280,1060,1320,1490,1500,1180,1260,1560,1530,2140,1560,1710,2340,777,821,1050,766,576,917,950,972,1110,1200,1300,1730,1960,2240,2950,3210,3110,3150,3180,3180,3230
Costa Rica,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,286,312,389,433,407,348,484,462,447,385,491,491,550,601,675,847,993,876,1040,1150,1250,1530,1760,2050,1910,2040,2080,2610,2910,2780,2450,2240,2070,2090,1980,2240,2580,2730,2910,2940,2910,3290,3740,3890,5200,4810,4690,4920,5240,5440,5400,5670,6230,6530,6800,6690,6970,7900,7920,7690,7430,7220,7180,7560,7680,7340,7850,7820,8070
Cote d'Ivoire,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,499,546,462,554,587,623,763,1170,1240,1360,1600,1890,2240,2460,2710,2880,3250,3990,3960,4060,4820,5420,5570,3870,5560,4520,5140,6990,5580,7360,8810,8270,4790,4310,3850,5100,4140,6120,7340,7020,6590,5940,6470,7400,6960,5140,7340,7500,6820,6540,6600,5520,6070,6350,8350,9530,9750,9410,7880,7990,8400
Croatia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5240,5720,6000,6160,6850,7760,7980,7910,7990,8550,8860,11600,12500,11700,14000,14000,14600,15100,14700,16400,17800,17500,19100,17500,18900,19900,20300,21200,20700,21400,21300,23400,17200,16500,17000,16200,16900,17500,18600,19300,20100,19700,20800,21900,23300,22900,23400,23600,24900,23700,21900,21100,20700,19100,18500,17700,17900,18100,18700,18600
Cuba,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,77,84.3,84.3,88,110,169,191,183,183,5610,6480,6290,6200,5960,6780,5850,13900,18000,15700,13700,12200,14200,13000,14300,14600,15200,15700,16000,17300,18700,19600,20800,22400,22900,27100,27200,29400,30600,31700,31300,32700,34400,30700,32500,32400,33400,33800,35400,35500,32800,28900,21000,19800,21300,25600,26900,24500,24400,25200,26000,25400,26000,25400,24900,25900,26300,25800,27800,28000,33900,29200,29500,27800,27400,29100,28100,28100,28600
Cyprus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,268,282,315,367,444,451,675,818,766,832,887,865,905,986,1000,1150,1240,1360,1620,1670,1700,1890,2410,2510,1930,1990,2490,2700,2850,3050,3260,3100,3160,3150,3240,3150,3610,4190,4200,4430,4660,5150,5520,5770,6010,5880,6240,6320,6620,6880,7130,7010,7200,7590,7820,8010,8200,8520,8680,8430,8070,7760,7220,6540,6930,6950,7360,7530,7500
Czech Republic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,203,667,1130,1600,2070,2530,3000,3460,3930,4400,4870,5330,5800,6260,6730,7200,12400,13100,13700,14700,15600,16500,16800,18000,18600,19500,20500,21500,23100,24500,26100,27100,27500,28100,28800,29900,30700,32500,33200,34000,33800,35300,35800,36500,36800,37900,39600,41600,42400,42100,41700,42200,44900,47000,42800,42700,45500,42700,36400,34400,34100,32800,29300,30900,38000,35700,36200,38900,40900,45800,40400,37800,32900,30100,30100,31000,33600,40700,46700,51300,57800,58200,62800,69300,66100,35100,43600,49500,53500,56300,57900,61700,66000,68400,73100,75800,81400,85000,92900,92900,99100,108000,115000,121000,126000,122000,122000,121000,127000,135000,155000,162000,164000,164000,166000,174000,181000,186000,188000,183000,185000,183000,181000,181000,187000,185000,186000,184000,181000,172000,164000,149000,145000,139000,132000,132000,135000,131000,125000,117000,127000,127000,124000,127000,128000,126000,127000,128000,123000,115000,118000,115000,111000,106000,104000,105000,107000,106000,106000
Denmark,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,136,158,209,227,172,312,271,341,312,334,359,458,455,649,664,491,627,543,785,678,755,649,1020,939,917,1090,946,1140,1190,1140,1150,1240,1460,1540,1530,1450,1640,1860,1970,2120,2430,2420,2540,2430,2490,2810,3000,2870,3090,3170,3000,3400,3530,4320,4630,4810,5250,5150,5360,5510,5730,6180,6010,6550,5840,7240,8010,7360,7840,9290,9530,9770,10500,10200,7440,8680,8240,7200,6800,9660,10500,12400,10700,10500,13300,12600,15100,13800,14300,13400,13400,14700,15300,15800,16300,14600,16300,14800,17400,16500,20600,20300,14100,17700,21500,17100,16900,22000,21900,22900,23200,25600,27100,26400,24900,26800,26100,29800,31700,36900,40700,43200,44300,50100,49100,53300,59400,62100,57100,59600,59300,55100,55800,60200,61900,61100,63000,60400,51800,53700,50200,50900,60100,59000,58400,55200,48800,53600,64200,58400,60700,64700,61600,74900,65500,61300,58700,54300,55900,55600,60700,55100,51500,59500,54700,51300,48900,49200,44200,39900,41800,37600,35200,37000,34800,34800
Djibouti,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11,25.7,25.7,29.3,33,36.7,29.3,44,47.7,36.7,40.3,44,47.7,66,84.3,121,139,88,121,84.3,139,161,191,180,194,198,198,198,202,363,348,301,348,348,352,359,378,389,348,389,323,337,337,337,330,330,334,348,341,341,367,367,400,422,407,414,411,462,499,458,517,473,480,556,594,607,600,629,645
Dominica,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.67,7.33,3.67,3.67,3.67,3.67,3.67,7.33,11,11,11,11,14.7,14.7,14.7,14.7,22,22,18.3,25.7,25.7,25.7,25.7,29.3,29.3,29.3,25.7,25.7,33,36.7,36.7,40.3,40.3,44,47.7,47.7,47.7,55,58.7,58.7,58.7,58.7,62.3,66,80.7,73.3,80.7,77,80.7,103,110,103,117,143,143,143,183,165,161,172,154,165,169,176,176,180,181,183
Dominican Republic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.33,22,25.7,348,359,594,620,627,917,986,1030,1070,1110,1040,1030,1240,1250,1750,1550,1670,1570,2350,2650,3110,3520,4670,5960,6410,6340,6330,5600,5430,6790,6430,6140,6310,7870,7400,7250,8130,9700,9750,10300,9160,9960,10800,11700,12400,15800,17200,17900,18300,18400,19600,19600,21100,21300,18100,18400,19400,20800,20300,19800,20600,21300,21500,21000,21600,23600,24700,24400,24900
