country,1751,1752,1753,1754,1755,1756,1757,1758,1759,1760,1761,1762,1763,1764,1765,1766,1767,1768,1769,1770,1771,1772,1773,1774,1775,1776,1777,1778,1779,1780,1781,1782,1783,1784,1785,1786,1787,1788,1789,1790,1791,1792,1793,1794,1795,1796,1797,1798,1799,1800,1801,1802,1803,1804,1805,1806,1807,1808,1809,1810,1811,1812,1813,1814,1815,1816,1817,1818,1819,1820,1821,1822,1823,1824,1825,1826,1827,1828,1829,1830,1831,1832,1833,1834,1835,1836,1837,1838,1839,1840,1841,1842,1843,1844,1845,1846,1847,1848,1849,1850,1851,1852,1853,1854,1855,1856,1857,1858,1859,1860,1861,1862,1863,1864,1865,1866,1867,1868,1869,1870,1871,1872,1873,1874,1875,1876,1877,1878,1879,1880,1881,1882,1883,1884,1885,1886,1887,1888,1889,1890,1891,1892,1893,1894,1895,1896,1897,1898,1899,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
Azerbaijan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.308,0.37,0.247,0.308,0.403,0.497,0.591,0.686,0.78,0.874,0.969,1.06,1.16,1.25,1.35,1.44,1.54,1.63,1.72,1.82,1.91,2.69,3.47,4.25,5.02,5.8,6.58,7.36,8.14,8.64,11.4,14.5,13.1,13.7,15.4,14.7,46.4,53.2,44.3,60.1,65.2,88,90.4,84.8,103,119,147,150,196,201,236,249,262,298,303,330,338,358,373,403,457,503,532,624,635,730,743,859,964,1120,1270,1300,1260,1230,1370,1220,1390,1560,1570,1660,1620,1680,1910,2070,1870,1720,1830,1680,671,573,523,567,692,764,910,898,1300,1620,1800,1940,2630,3160,3560,3980,4820,5450,6250,6390,6750,6830,8190,7190,4950,6320,5920,6270,7040,8480,9020,10300,11400,12400,13300,14000,15300,17400,19100,20900,22300,19800,20600,21300,22300,24000,25500,27100,28600,29900,30800,32100,33700,35800,37700,39300,40800,42900,44600,46100,47700,48100,50000,49100,50000,50700,51200,55200,55300,55100,56600,55300,51700,51000,56200,48400,42000,33300,31300,29800,31700,28600,29500,28800,29700,30700,32100,34300,39100,30500,35500,31900,30700,33000,35100,35100,36800,37100,37200,36700,36800
Bahamas,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,55,66,77,80.7,84.3,128,139,176,180,260,411,546,726,708,1090,1320,1090,1700,1630,1740,2570,6730,6490,7870,7390,8250,6460,9720,6600,6920,7980,2800,2260,2020,1860,1510,1410,1420,1540,1950,1840,1840,1850,1760,1750,1740,1730,1530,1910,1950,1950,1870,1930,1970,1970,1830,1780,1800,2360,1610,2390,1800,1910,2870,2350,2020,1790,1800,1810
Bahrain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11,121,532,1950,3260,3480,3190,2970,2850,2620,2760,2820,3070,3360,3950,4580,4610,1380,1180,1290,997,1050,1400,1060,755,1290,1310,576,1770,1590,1200,1600,1230,649,1000,1100,1270,2590,3040,3680,5520,5410,5750,6570,7470,7770,8130,7890,8530,9840,8230,9210,10200,11000,11400,12200,11700,12400,11900,10900,14600,14800,14800,15600,17300,18400,18000,18800,14100,15900,16800,17900,19800,19400,26800,29700,28100,29100,28700,27300,31200,31200,32700,31500,31800,31100
Bangladesh,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,118,122,134,190,994,1230,1300,1320,1340,1380,1640,1690,1900,1840,2210,2290,2520,2900,2980,3120,3180,3370,3870,3750,3810,3610,3510,4550,4660,4860,5560,5790,5990,6620,7600,7890,8560,8190,9080,10200,11400,11800,13500,13400,14100,14800,15400,16100,17600,21100,21500,23100,23200,25100,26500,31100,32000,33500,36000,37700,41700,42700,45300,49200,54000,56600,60700,61800,66000,72900,76100,78900,85800
Barbados,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.67,3.67,7.33,3.67,3.67,3.67,3.67,0,0,0,0,3.67,0,0,0,0,0,0,0,3.67,3.67,3.67,73.3,110,88,110,114,128,128,136,150,150,172,194,260,191,180,205,268,337,440,480,429,484,502,480,491,568,532,590,631,601,675,686,645,686,748,847,917,943,946,990,1070,1200,976,1100,741,807,825,892,1100,1160,1150,1190,1200,1250,1270,1320,1340,1360,1610,1600,1470,1520,1460,1440,1250,1250,1270,1270,1280
Belarus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.479,0.575,0.384,0.479,0.626,0.773,0.919,1.07,1.21,1.36,1.51,1.65,1.8,1.95,2.09,2.24,2.39,2.53,2.68,2.83,2.97,4.18,5.39,6.6,7.81,9.01,10.2,11.4,12.7,13.4,17.7,22.5,20.3,21.3,23.9,22.8,72.1,82.8,68.9,93.4,101,137,140,132,160,184,229,233,305,313,367,387,407,464,471,513,526,556,580,627,710,782,827,970,988,1130,1160,1340,1500,1740,1970,2020,1950,1910,2120,1900,2160,2420,2440,2570,2520,2620,2960,3220,2910,2670,2840,2620,1040,891,813,881,1070,1190,1410,1400,2020,2520,2790,3010,4090,4910,5540,6190,7490,8470,9720,9930,10500,10600,12700,11200,7690,9820,9200,9740,10900,13200,14000,15900,17800,19300,20600,21800,23800,27000,29600,32400,34600,43500,45300,46700,49000,52600,55900,59300,62700,65600,67400,70300,73900,78400,82600,86100,89400,94000,97500,101000,104000,105000,109000,107000,109000,111000,112000,120000,121000,120000,123000,120000,104000,97100,90100,77700,64400,58000,59300,62600,59500,57000,55500,55600,55700,57200,60800,62100,64900,64300,66500,62000,63900,62900,63800,64500,63800,59300,61000,62800,65500
Belgium,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6400,6400,6390,6380,6370,6370,6360,6350,6340,6340,6330,6320,6320,6310,6300,6290,6290,6280,6270,6270,6260,6250,6240,6240,6230,6220,6220,6210,6200,4470,4720,4570,4410,4760,5600,6000,6130,6710,7730,7400,7690,7120,7810,8230,8970,9330,8290,8740,9340,10200,11400,11800,13100,13400,13200,13800,14500,14900,15200,16500,16400,17200,18100,19100,20500,22300,20100,21700,24800,23700,25600,28100,25900,27000,26300,25100,27300,27800,30500,30700,32500,34400,33900,33100,32100,34000,36100,36900,39900,37800,37800,36100,39900,40200,42300,43800,45100,47200,49700,46700,48900,52700,50400,50300,57500,58400,57900,57800,61300,61700,64800,68100,40600,34400,45800,36300,33800,44900,55200,50600,56000,71900,76300,78100,77700,90500,88300,97000,93800,84200,67800,72700,75000,71700,75100,90400,79200,73800,62200,65200,61100,57900,33200,38800,56500,82100,85100,80900,76300,89500,83500,82500,85800,92100,96900,96600,87800,88400,91000,92800,98100,106000,104000,105000,105000,107000,119000,124000,126000,121000,131000,139000,135000,122000,130000,126000,136000,140000,135000,124000,117000,101000,105000,104000,102000,103000,99800,107000,121000,124000,123000,122000,125000,126000,130000,124000,130000,125000,127000,126000,126000,128000,129000,126000,124000,121000,120000,108000,114000,104000,102000,102000,96000,99800,98500,97600,99700
Belize,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18.3,25.7,25.7,29.3,29.3,29.3,29.3,29.3,40.3,40.3,44,36.7,69.7,62.3,84.3,84.3,80.7,121,103,136,121,143,158,147,154,176,176,198,216,209,191,183,172,172,172,191,205,227,249,301,312,407,356,378,374,378,308,389,370,348,396,447,433,433,392,422,444,477,436,587,539,601,477,513,495,579,568,567,575
Benin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,125,103,161,128,136,121,143,150,114,143,154,202,282,293,389,381,407,444,260,297,363,367,508,418,478,440,486,726,666,518,538,610,681,793,866,1090,1220,1270,1230,1200,1200,1540,1580,1790,2050,2330,2480,2370,3710,4320,4260,4510,4940,4890,4640,4890,5220,5870,6280,6910,7160
Bhutan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.67,3.67,3.67,3.67,3.67,3.67,3.67,7.33,11,22,22,25.7,33,29.3,51.3,62.3,55,103,110,62.3,128,176,206,173,202,236,285,377,367,371,382,369,402,361,291,378,373,372,401,368,465,668,773,854,957,974,1150,1180,1210
